v,tunning,n,dataset,task,params,acc,f1,cm,lang,embeddings
_grid,,0.0,brmoral,gender,"{'features_maps': [10], 'kernel_size': [3], 'strides': [1], 'dropout_rate': 0.25, 'epochs': 100, 'batch_size': 30, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 6664, 'optimizer': None, 'n_classes': 3}",0.5782608695652174,0.5740008783487043,"[[110 120]
 [ 74 156]]",pt,
_grid,,0.0,brmoral,age,"{'features_maps': [10], 'kernel_size': [3], 'strides': [1], 'dropout_rate': 0.25, 'epochs': 100, 'batch_size': 30, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 6664, 'optimizer': None, 'n_classes': 3}",0.3543307086614173,0.2586856791632129,"[[  2  24 101]
 [  1  24 102]
 [  0  18 109]]",pt,
_grid,,0.0,brmoral,religion,"{'features_maps': [10], 'kernel_size': [3], 'strides': [1], 'dropout_rate': 0.25, 'epochs': 100, 'batch_size': 30, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 6664, 'optimizer': None, 'n_classes': 3}",0.31712962962962965,0.3127332437677265,"[[32 37 75]
 [26 45 73]
 [30 54 60]]",pt,
_grid,,0.0,brmoral,education,"{'features_maps': [10], 'kernel_size': [3], 'strides': [1], 'dropout_rate': 0.25, 'epochs': 100, 'batch_size': 30, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 6664, 'optimizer': None, 'n_classes': 3}",0.3591731266149871,0.34425150457852105,"[[66 17 46]
 [56 23 50]
 [60 19 50]]",pt,
_grid,,0.0,brmoral,it,"{'features_maps': [10], 'kernel_size': [3], 'strides': [1], 'dropout_rate': 0.25, 'epochs': 100, 'batch_size': 30, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 6664, 'optimizer': None, 'n_classes': 3}",0.5705128205128205,0.5551393913598638,"[[177  57]
 [144  90]]",pt,
_grid,,0.0,brmoral,politics,"{'features_maps': [10], 'kernel_size': [3], 'strides': [1], 'dropout_rate': 0.25, 'epochs': 100, 'batch_size': 30, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 6664, 'optimizer': None, 'n_classes': 3}",0.30303030303030304,0.3015158641464508,"[[29 71 32]
 [35 49 48]
 [17 73 42]]",pt,
_grid,,0.0,brmoral,gender,"{'features_maps': [10], 'kernel_size': [3], 'strides': [1], 'dropout_rate': 0.25, 'epochs': 100, 'batch_size': 30, 'embedding_dim': 100, 'max_seq_length': 302, 'max_num_words': 6697, 'optimizer': None, 'n_classes': 3}",0.5934782608695652,0.5918561010443207,"[[151  79]
 [108 122]]",pt,LILC-fasttext-100dim