acc,cm,dataset,f1,n,params,task,tunning,v,embeddings,lang,loss,val_loss
0.5,"[[502   0]
 [502   0]]",pan13,0.3333333333333333,0.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'optimizer': None, 'kernel_size': [7, 8], 'max_num_words': 10000, 'n_classes': 2, 'embedding_dim': 100, 'pool_size': [3, 3, 3], 'epochs': 100, 'strides': [1], 'features_maps': [10, 10], 'max_seq_length': 409, 'batch_size': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.6935812045227397,0.6931472010299807
0.5,"[[  0 526]
 [  0 526]]",pan13,0.3333333333333333,1.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'optimizer': None, 'kernel_size': [7, 8], 'max_num_words': 10000, 'n_classes': 2, 'embedding_dim': 100, 'pool_size': [3, 3, 3], 'epochs': 100, 'strides': [1], 'features_maps': [50, 50], 'max_seq_length': 412, 'batch_size': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.6938898012135373,0.6931508349047767
0.5,"[[  0 515]
 [  0 515]]",pan13,0.3333333333333333,2.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'optimizer': None, 'kernel_size': [3, 4, 5], 'max_num_words': 10000, 'n_classes': 2, 'embedding_dim': 100, 'pool_size': [3, 3, 3], 'epochs': 100, 'strides': [1], 'features_maps': [10, 10, 10], 'max_seq_length': 405, 'batch_size': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.6935169460444615,0.6931607127189636
0.5,"[[  0 509]
 [  0 509]]",pan13,0.3333333333333333,3.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'optimizer': None, 'kernel_size': [3, 4, 5], 'max_num_words': 10000, 'n_classes': 2, 'embedding_dim': 100, 'pool_size': [3, 3, 3], 'epochs': 100, 'strides': [1], 'features_maps': [50, 50, 50], 'max_seq_length': 411, 'batch_size': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.6965339717926917,0.6906875214486752
0.5157170923379175,"[[243 266]
 [227 282]]",pan13,0.5150052715347753,4.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'optimizer': None, 'kernel_size': [7, 8, 9], 'max_num_words': 10000, 'n_classes': 2, 'embedding_dim': 100, 'pool_size': [3, 3, 3], 'epochs': 100, 'strides': [1], 'features_maps': [10, 10, 10], 'max_seq_length': 423, 'batch_size': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.6948071621506421,0.690841945734891
0.5,"[[505   0]
 [505   0]]",pan13,0.3333333333333333,5.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'optimizer': None, 'kernel_size': [7, 8, 9], 'max_num_words': 10000, 'n_classes': 2, 'embedding_dim': 100, 'pool_size': [3, 3, 3], 'epochs': 100, 'strides': [1], 'features_maps': [50, 50, 50], 'max_seq_length': 404, 'batch_size': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.695598894864126,0.6931197740814903
0.5,"[[501   0]
 [501   0]]",pan13,0.3333333333333333,6.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'optimizer': None, 'kernel_size': [3], 'max_num_words': 10000, 'n_classes': 2, 'embedding_dim': 100, 'pool_size': [3, 3, 3], 'epochs': 100, 'strides': [1], 'features_maps': [10], 'max_seq_length': 406, 'batch_size': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.6935826475803669,0.6931480036841499
0.5,"[[   0 5015]
 [   0 5015]]",pan13,0.3333333333333333,0.0,"{'epochs': 100, 'max_seq_length': 200, 'batch_size': 2, 'strides': [1], 'dropout_rate': 0.2, 'dense_units': [128], 'kernel_size': [7, 8], 'optimizer': None, 'features_maps': [10, 10], 'max_num_words': 1000, 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'n_classes': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.6934205574387619,0.6931473612785339
0.5,"[[   0 5012]
 [   0 5012]]",pan13,0.3333333333333333,1.0,"{'epochs': 100, 'max_seq_length': 413, 'batch_size': 2, 'strides': [1], 'dropout_rate': 0.2, 'dense_units': [128], 'kernel_size': [7, 8], 'optimizer': None, 'features_maps': [10, 10], 'max_num_words': 1000, 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'n_classes': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.7052547923197804,0.6931475996971129
0.5,"[[5016    0]
 [5016    0]]",pan13,0.3333333333333333,2.0,"{'epochs': 100, 'max_seq_length': 200, 'batch_size': 2, 'strides': [1], 'dropout_rate': 0.2, 'dense_units': [128], 'kernel_size': [7, 8], 'optimizer': None, 'features_maps': [10, 10], 'max_num_words': 10000, 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'n_classes': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.6933716369125078,0.6931501478831595
0.5,"[[5015    0]
 [5015    0]]",pan13,0.3333333333333333,3.0,"{'epochs': 100, 'max_seq_length': 410, 'batch_size': 2, 'strides': [1], 'dropout_rate': 0.2, 'dense_units': [128], 'kernel_size': [7, 8], 'optimizer': None, 'features_maps': [10, 10], 'max_num_words': 10000, 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'n_classes': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.6935313894553522,0.6931743621826172
0.5465578989255869,"[[4129  897]
 [3661 1365]]",pan13,0.5094695879601651,4.0,"{'epochs': 100, 'max_seq_length': 200, 'batch_size': 2, 'strides': [1], 'dropout_rate': 0.2, 'dense_units': [128], 'kernel_size': [7, 8], 'optimizer': None, 'features_maps': [10, 10], 'max_num_words': 104548, 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'n_classes': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.6913361665666353,0.6912972583629117
0.5,"[[   0 5024]
 [   0 5024]]",pan13,0.3333333333333333,5.0,"{'epochs': 100, 'max_seq_length': 413, 'batch_size': 2, 'strides': [1], 'dropout_rate': 0.2, 'dense_units': [128], 'kernel_size': [7, 8], 'optimizer': None, 'features_maps': [10, 10], 'max_num_words': 101586, 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'n_classes': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.6935085433491085,0.6931485533714294
0.527550409263326,"[[1578 3431]
 [1302 3707]]",pan13,0.5052035850642449,6.0,"{'epochs': 100, 'max_seq_length': 200, 'batch_size': 2, 'strides': [1], 'dropout_rate': 0.2, 'dense_units': [128], 'kernel_size': [7, 8], 'optimizer': None, 'features_maps': [50, 50], 'max_num_words': 1000, 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'n_classes': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.695848954444995,0.6939701197282323
0.5,"[[   0 5002]
 [   0 5002]]",pan13,0.3333333333333333,7.0,"{'epochs': 100, 'max_seq_length': 413, 'batch_size': 2, 'strides': [1], 'dropout_rate': 0.2, 'dense_units': [128], 'kernel_size': [7, 8], 'optimizer': None, 'features_maps': [50, 50], 'max_num_words': 1000, 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'n_classes': 2}",gender,test channels,_grid,nilc-fasttext-100dim,en,0.7316084323899759,0.6931488513946533
