v,tunning,n,dataset,task,params,acc,f1,cm,embeddings,lang,loss,val_loss
_grid,,0.0,b5post,gender,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 50, 'max_seq_length': 100, 'max_num_words': 100, 'dense_units': [512], 'optimizer': None, 'pool_size': [1, 1], 'n_classes': 2}",0.5409836065573771,0.5390013495276653,"[[37 24]
 [32 29]]",nilc-fasttext-100dim,pt,0.06416912376387883,0.2908531109491984
_grid,,1.0,b5post,gender,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 100, 'max_num_words': 100, 'dense_units': [512], 'optimizer': None, 'pool_size': [1, 1], 'n_classes': 2}",0.4523809523809524,0.4481751824817518,"[[34 29]
 [40 23]]",nilc-fasttext-100dim,pt,0.13064419503499694,0.6378442883491516
_grid,,2.0,b5post,gender,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 300, 'max_seq_length': 100, 'max_num_words': 100, 'dense_units': [512], 'optimizer': None, 'pool_size': [1, 1], 'n_classes': 2}",0.4741379310344828,0.4731591095227458,"[[25 33]
 [28 30]]",nilc-fasttext-100dim,pt,0.3203583042438214,0.6501999646425247
_grid,,3.0,b5post,gender,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 600, 'max_seq_length': 100, 'max_num_words': 100, 'dense_units': [512], 'optimizer': None, 'pool_size': [1, 1], 'n_classes': 2}",0.5370370370370371,0.5344827586206896,"[[33 21]
 [29 25]]",nilc-fasttext-100dim,pt,0.2805050735629123,0.8661167740821838
_grid,,0.0,b5post,gender,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 50, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [1, 1], 'n_classes': 2}",0.5620689655172414,0.5620220951112485,"[[160 130]
 [124 166]]",nilc-fasttext-100dim,pt,1.5821426522559845,1.3398081356403877
_grid,,1.0,b5post,gender,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 100, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [1, 1], 'n_classes': 2}",0.5525423728813559,0.5358151843507492,"[[107 188]
 [ 76 219]]",nilc-fasttext-100dim,pt,0.5820297369121255,0.9520938506021221
_grid,,2.0,b5post,gender,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 300, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [1, 1], 'n_classes': 2}",0.5839160839160841,0.5822613904163394,"[[149 137]
 [101 185]]",nilc-fasttext-100dim,pt,0.9046174294815692,1.022946846485138
_grid,,3.0,b5post,gender,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 600, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [1, 1], 'n_classes': 2}",0.5034843205574913,0.4869647846907959,"[[ 93 194]
 [ 91 196]]",nilc-fasttext-100dim,pt,0.78128904224897,0.8655652932676614
_grid,,4.0,b5post,gender,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 1000, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [1, 1], 'n_classes': 2}",0.5709219858156028,0.5552108453366356,"[[108 174]
 [ 68 214]]",nilc-fasttext-100dim,pt,1.1098613845022185,0.8912147323290507
_grid,,0.0,b5post,age,"{'features_maps': [10, 10], 'kernel_size': [7, 8], 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'batch_size': 2, 'embedding_dim': 50, 'max_seq_length': 100, 'max_num_words': 1000, 'dense_units': [512], 'optimizer': None, 'pool_size': [1, 1], 'n_classes': 2}",0.3620309050772627,0.3502006565573395,"[[73 22 56]
 [74 29 48]
 [72 17 62]]",nilc-fasttext-100dim,pt,2.040800819181425,1.8843759497006736
