acc,cm,dataset,f1,n,params,task,tunning,v,embeddings,lang,loss,val_loss
0.496039603960396,"[[ 41 969]
 [ 49 961]]",enblog,0.3641434755720471,0.0,"{'optimizer': None, 'pool_size': [1, 1], 'epochs': 100, 'n_classes': 2, 'batch_size': 8, 'dropout_rate': 0.2, 'strides': [1], 'max_seq_length': 300, 'max_num_words': 3000, 'dense_units': [512], 'embedding_dim': 100, 'features_maps': [50, 50], 'kernel_size': [7, 8]}",gender,nilc,_grid,nilc-fasttext-100dim,en,0.6934300981204049,0.6931526929724449
0.5,"[[   0 1012]
 [   0 1012]]",enblog,0.3333333333333333,0.0,"{'dropout_rate': 0.2, 'max_num_words': 3000, 'strides': [1], 'kernel_size': [1, 1], 'pool_size': [1, 1], 'embedding_dim': 100, 'dense_units': [512], 'max_seq_length': 300, 'batch_size': 8, 'optimizer': None, 'features_maps': [50, 50], 'epochs': 100, 'n_classes': 2}",gender,nilc,_grid,nilc-fasttext-100dim,en,0.6936869313674844,0.69326766473467
0.5,"[[503 502]
 [503 502]]",enblog,0.4999998762406565,1.0,"{'dropout_rate': 0.2, 'max_num_words': 3000, 'strides': [1], 'kernel_size': [3, 4], 'pool_size': [1, 1], 'embedding_dim': 100, 'dense_units': [512], 'max_seq_length': 300, 'batch_size': 8, 'optimizer': None, 'features_maps': [50, 50], 'epochs': 100, 'n_classes': 2}",gender,nilc,_grid,nilc-fasttext-100dim,en,0.6933861929314201,0.6931515421186174
0.5,"[[   0 1014]
 [   0 1014]]",enblog,0.3333333333333333,2.0,"{'dropout_rate': 0.2, 'max_num_words': 3000, 'strides': [1], 'kernel_size': [10, 10], 'pool_size': [1, 1], 'embedding_dim': 100, 'dense_units': [512], 'max_seq_length': 300, 'batch_size': 8, 'optimizer': None, 'features_maps': [50, 50], 'epochs': 100, 'n_classes': 2}",gender,nilc,_grid,nilc-fasttext-100dim,en,0.6936147721127,0.6931497419581694
0.5,"[[   0 1008]
 [   0 1008]]",enblog,0.3333333333333333,3.0,"{'dropout_rate': 0.2, 'max_num_words': 3000, 'strides': [1], 'kernel_size': [15, 15], 'pool_size': [1, 1], 'embedding_dim': 100, 'dense_units': [512], 'max_seq_length': 300, 'batch_size': 8, 'optimizer': None, 'features_maps': [50, 50], 'epochs': 100, 'n_classes': 2}",gender,nilc,_grid,nilc-fasttext-100dim,en,0.6933878497658301,0.693147212266922
0.6039408866995074,"[[625 390]
 [414 601]]",enblog,0.6038855196824326,0.0,"{'batch_size': 8, 'features_maps': [50, 50], 'optimizer': None, 'kernel_size': [3, 4], 'max_seq_length': 1000, 'dropout_rate': 0.2, 'embedding_dim': 100, 'strides': [1], 'max_num_words': 30000, 'n_classes': 2, 'epochs': 100, 'pool_size': [1, 1], 'dense_units': [512]}",gender,nilc,_grid,nilc-fasttext-100dim,en,0.4639129870271951,0.7677394462514806
0.6146560319042872,"[[802 201]
 [572 431]]",enblog,0.6010086468308034,0.0,"{'n_classes': 2, 'embedding_dim': 100, 'dropout_rate': 0.2, 'epochs': 100, 'features_maps': [50, 50], 'kernel_size': [3, 4], 'max_num_words': 5000, 'strides': [1], 'batch_size': 8, 'pool_size': [1, 1], 'dense_units': [512], 'max_seq_length': 1000, 'optimizer': None}",gender,nilc,_grid,nilc-fasttext-100dim,en,0.4462402088706158,0.8346546805821933
0.5754245754245755,"[[688 313]
 [537 464]]",enblog,0.5700419523031319,0.0,"{'features_maps': [50, 50], 'n_classes': 2, 'strides': [1], 'dropout_rate': 0.2, 'epochs': 100, 'kernel_size': [3, 4], 'max_num_words': 30000, 'batch_size': 8, 'optimizer': None, 'embedding_dim': 100, 'dense_units': [512], 'max_seq_length': 1000, 'pool_size': [1, 1]}",gender,nilc,_grid,nilc-fasttext-100dim,en,0.7162490235199315,0.7755183738160443
0.6130478087649402,"[[645 359]
 [418 586]]",enblog,0.6127134528443376,0.0,"{'strides': [1], 'max_seq_length': 1000, 'dropout_rate': 0.2, 'epochs': 100, 'n_classes': 3, 'optimizer': None, 'batch_size': 8, 'kernel_size': [1, 2, 3], 'embedding_dim': 100, 'max_num_words': 10000, 'pool_size': [1, 1, 1], 'dense_units': [512], 'features_maps': [10, 10, 10]}",gender,nilc,_grid,nilc-fasttext-100dim,en,0.6857952264979341,0.7967350859224638
0.5995288574793876,"[[598 177  74]
 [127 511 211]
 [ 71 360 418]]",enblog,0.6014856176669434,0.0,"{'strides': [1], 'max_seq_length': 1000, 'dropout_rate': 0.2, 'epochs': 100, 'n_classes': 3, 'optimizer': None, 'batch_size': 8, 'kernel_size': [1, 2, 3], 'embedding_dim': 100, 'max_num_words': 10000, 'pool_size': [1, 1, 1], 'dense_units': [512], 'features_maps': [10, 10, 10]}",age,nilc,_grid,nilc-fasttext-100dim,en,0.5237170999675747,1.106335140261061
