acc,cm,dataset,f1,n,params,task,tunning,v,embeddings,lang,loss,val_loss
0.3333333333333333,"[[1362    0    0]
 [1362    0    0]
 [1362    0    0]]",smscorpus,0.16666666666666666,0.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'optimizer': None, 'batch_size': 2, 'strides': [1], 'max_num_words': 1000, 'features_maps': [10, 10], 'n_classes': 3, 'kernel_size': [2, 3], 'max_seq_length': 200, 'epochs': 100}",age,test channels,_grid,nilc-fasttext-100dim,en,1.0992656905794405,1.0934837636947632
0.3333333333333333,"[[   0 1360    0]
 [   0 1360    0]
 [   0 1360    0]]",smscorpus,0.16666666666666666,1.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'optimizer': None, 'batch_size': 2, 'strides': [1], 'max_num_words': 1000, 'features_maps': [10, 10], 'n_classes': 3, 'kernel_size': [2, 3], 'max_seq_length': 50, 'epochs': 100}",age,test channels,_grid,nilc-fasttext-100dim,en,1.1300394832359255,1.0739340963363648
0.4172370088719897,"[[   0  162 1153]
 [   0  466  849]
 [   0  135 1180]]",smscorpus,0.3244341627530677,2.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'optimizer': None, 'batch_size': 2, 'strides': [1], 'max_num_words': 10000, 'features_maps': [10, 10], 'n_classes': 3, 'kernel_size': [2, 3], 'max_seq_length': 200, 'epochs': 100}",age,test channels,_grid,nilc-fasttext-100dim,en,1.0490892673739305,1.0216427623915176
0.3333333333333333,"[[   0    0 1364]
 [   0    0 1364]
 [   0    0 1364]]",smscorpus,0.16666666666666666,3.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'optimizer': None, 'batch_size': 2, 'strides': [1], 'max_num_words': 10000, 'features_maps': [10, 10], 'n_classes': 3, 'kernel_size': [2, 3], 'max_seq_length': 50, 'epochs': 100}",age,test channels,_grid,nilc-fasttext-100dim,en,1.1313662806139488,1.0986183044758249
0.3333333333333333,"[[   0 1321    0]
 [   0 1321    0]
 [   0 1321    0]]",smscorpus,0.16666666666666666,4.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'optimizer': None, 'batch_size': 2, 'strides': [1], 'max_num_words': 4448, 'features_maps': [10, 10], 'n_classes': 3, 'kernel_size': [2, 3], 'max_seq_length': 200, 'epochs': 100}",age,test channels,_grid,nilc-fasttext-100dim,en,1.0991420547333721,1.0895397787094117
0.5303482587064676,"[[946 221 173]
 [471 644 225]
 [542 256 542]]",smscorpus,0.5241034019477516,5.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'optimizer': None, 'batch_size': 2, 'strides': [1], 'max_num_words': 4171, 'features_maps': [10, 10], 'n_classes': 3, 'kernel_size': [2, 3], 'max_seq_length': 50, 'epochs': 100}",age,test channels,_grid,nilc-fasttext-100dim,en,0.9783479135643232,0.8769874616169635
0.4810438207779419,"[[1039  190  125]
 [ 508  687  159]
 [ 804  322  228]]",smscorpus,0.4478090174456072,6.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'optimizer': None, 'batch_size': 2, 'strides': [1], 'max_num_words': 1000, 'features_maps': [50, 50], 'n_classes': 3, 'kernel_size': [2, 3], 'max_seq_length': 200, 'epochs': 100}",age,test channels,_grid,nilc-fasttext-100dim,en,0.8811780268016985,1.0164586774494069
0.3333333333333333,"[[   0    0 1358]
 [   0    0 1358]
 [   0    0 1358]]",smscorpus,0.16666666666666666,7.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'optimizer': None, 'batch_size': 2, 'strides': [1], 'max_num_words': 1000, 'features_maps': [50, 50], 'n_classes': 3, 'kernel_size': [2, 3], 'max_seq_length': 50, 'epochs': 100}",age,test channels,_grid,nilc-fasttext-100dim,en,1.0994002569289434,1.098621686299642
0.3333333333333333,"[[   0    0 1315]
 [   0    0 1315]
 [   0    0 1315]]",smscorpus,0.16666666666666666,8.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'optimizer': None, 'batch_size': 2, 'strides': [1], 'max_num_words': 10000, 'features_maps': [50, 50], 'n_classes': 3, 'kernel_size': [2, 3], 'max_seq_length': 200, 'epochs': 100}",age,test channels,_grid,nilc-fasttext-100dim,en,1.0989617469839017,1.0828782768249512
0.3333333333333333,"[[   0 1346    0]
 [   0 1346    0]
 [   0 1346    0]]",smscorpus,0.16666666666666666,9.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'optimizer': None, 'batch_size': 2, 'strides': [1], 'max_num_words': 10000, 'features_maps': [50, 50], 'n_classes': 3, 'kernel_size': [2, 3], 'max_seq_length': 50, 'epochs': 100}",age,test channels,_grid,nilc-fasttext-100dim,en,1.1911600198027061,1.097438611794467
0.4380883417813179,"[[1059  171  151]
 [ 653  553  175]
 [ 935  243  203]]",smscorpus,0.4031412974843213,10.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'optimizer': None, 'batch_size': 2, 'strides': [1], 'max_num_words': 4323, 'features_maps': [50, 50], 'n_classes': 3, 'kernel_size': [2, 3], 'max_seq_length': 200, 'epochs': 100}",age,test channels,_grid,nilc-fasttext-100dim,en,0.9927716035697376,0.9537098935639212
0.3333333333333333,"[[1369    0    0]
 [1369    0    0]
 [1369    0    0]]",smscorpus,0.16666666666666666,11.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'optimizer': None, 'batch_size': 2, 'strides': [1], 'max_num_words': 4335, 'features_maps': [50, 50], 'n_classes': 3, 'kernel_size': [2, 3], 'max_seq_length': 50, 'epochs': 100}",age,test channels,_grid,nilc-fasttext-100dim,en,1.099129660339633,1.0875562324523926
0.4603174603174603,"[[781 258 305]
 [285 792 267]
 [675 386 283]]",smscorpus,0.4444982676268523,12.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'optimizer': None, 'batch_size': 2, 'strides': [1], 'max_num_words': 1000, 'features_maps': [10, 10, 10], 'n_classes': 3, 'kernel_size': [2, 3, 4], 'max_seq_length': 200, 'epochs': 100}",age,test channels,_grid,nilc-fasttext-100dim,en,0.973235137702399,0.9878886404037476
0.4850506548060292,"[[666  85 598]
 [229 406 714]
 [302 156 891]]",smscorpus,0.4772254740332098,13.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'optimizer': None, 'batch_size': 2, 'strides': [1], 'max_num_words': 1000, 'features_maps': [10, 10, 10], 'n_classes': 3, 'kernel_size': [2, 3, 4], 'max_seq_length': 50, 'epochs': 100}",age,test channels,_grid,nilc-fasttext-100dim,en,0.9108539640214972,0.9649315295138208
0.3980063214198882,"[[ 166  851  354]
 [  29 1251   91]
 [  46 1105  220]]",smscorpus,0.3228640740872478,14.0,"{'dropout_rate': 0.2, 'dense_units': [128], 'pool_size': [3, 3, 3], 'embedding_dim': 100, 'optimizer': None, 'batch_size': 2, 'strides': [1], 'max_num_words': 10000, 'features_maps': [10, 10, 10], 'n_classes': 3, 'kernel_size': [2, 3, 4], 'max_seq_length': 200, 'epochs': 100}",age,test channels,_grid,nilc-fasttext-100dim,en,1.0514275385099128,0.9817895860671996
